Date,Abroad,Domestic,Sum,Cum
2020. 01. 01,0,0,0,0
2020. 01. 02,0,0,0,0
2020. 01. 03,0,0,0,0
2020. 01. 04,0,0,0,0
2020. 01. 05,0,0,0,0
2020. 01. 06,0,0,0,0
2020. 01. 07,0,0,0,0
2020. 01. 08,0,0,0,0
2020. 01. 09,0,0,0,0
2020. 01. 10,0,0,0,0
2020. 01. 11,0,0,0,0
2020. 01. 12,0,0,0,0
2020. 01. 13,0,0,0,0
2020. 01. 14,0,0,0,0
2020. 01. 15,0,0,0,0
2020. 01. 16,0,0,0,0
2020. 01. 17,0,0,0,0
2020. 01. 18,0,0,0,0
2020. 01. 19,0,0,0,0
2020. 01. 20,0,0,0,0
2020. 01. 21,0,0,0,0
2020. 01. 22,0,0,0,0
2020. 01. 23,0,0,0,0
2020. 01. 24,0,0,0,0
2020. 01. 25,0,0,0,0
2020. 01. 26,0,0,0,0
2020. 01. 27,0,0,0,0
2020. 01. 28,0,0,0,0
2020. 01. 29,0,0,0,0
2020. 01. 30,0,0,0,0
2020. 01. 31,0,0,0,0
2020. 02. 01,0,0,0,0
2020. 02. 02,0,0,0,0
2020. 02. 03,0,0,0,0
2020. 02. 04,0,18,18,18
2020. 02. 05,0,1,1,19
2020. 02. 06,0,4,4,23
2020. 02. 07,0,1,1,24
2020. 02. 08,0,0,0,24
2020. 02. 09,0,3,3,27
2020. 02. 10,0,0,0,27
2020. 02. 11,0,1,1,28
2020. 02. 12,0,0,0,28
2020. 02. 13,0,0,0,28
2020. 02. 14,0,0,0,28
2020. 02. 15,0,0,0,28
2020. 02. 16,0,1,1,29
2020. 02. 17,0,1,1,30
2020. 02. 18,0,1,1,31
2020. 02. 19,0,20,20,51
2020. 02. 20,0,53,53,104
2020. 02. 21,0,100,100,204
2020. 02. 22,0,229,229,433
2020. 02. 23,0,169,169,602
2020. 02. 24,0,231,231,833
2020. 02. 25,0,144,144,977
2020. 02. 26,0,284,284,1261
2020. 02. 27,0,505,505,1766
2020. 02. 28,0,571,571,2337
2020. 02. 29,0,813,813,3150
2020. 03. 01,0,586,586,3736
2020. 03. 02,0,476,476,4212
2020. 03. 03,0,600,600,4812
2020. 03. 04,0,516,516,5328
2020. 03. 05,0,438,438,5766
2020. 03. 06,0,518,518,6284
2020. 03. 07,0,483,483,6767
2020. 03. 08,0,367,367,7134
2020. 03. 09,0,248,248,7382
2020. 03. 10,0,131,131,7513
2020. 03. 11,0,242,242,7755
2020. 03. 12,0,114,114,7869
2020. 03. 13,0,110,110,7979
2020. 03. 14,0,107,107,8086
2020. 03. 15,0,76,76,8162
2020. 03. 16,0,74,74,8236
2020. 03. 17,0,84,84,8320
2020. 03. 18,0,93,93,8413
2020. 03. 19,0,152,152,8565
2020. 03. 20,0,87,87,8652
2020. 03. 21,0,147,147,8799
2020. 03. 22,0,98,98,8897
2020. 03. 23,0,64,64,8961
2020. 03. 24,0,76,76,9037
2020. 03. 25,0,100,100,9137
2020. 03. 26,0,104,104,9241
2020. 03. 27,0,91,91,9332
2020. 03. 28,0,146,146,9478
2020. 03. 29,0,105,105,9583
2020. 03. 30,0,78,78,9661
2020. 03. 31,0,125,125,9786
2020. 04. 01,0,101,101,9887
2020. 04. 02,0,89,89,9976
2020. 04. 03,0,86,86,10062
2020. 04. 04,0,94,94,10156
2020. 04. 05,0,81,81,10237
2020. 04. 06,0,47,47,10284
2020. 04. 07,0,47,47,10331
2020. 04. 08,0,53,53,10384
2020. 04. 09,23,16,39,10423
2020. 04. 10,5,22,27,10450
2020. 04. 11,12,18,30,10480
2020. 04. 12,24,8,32,10512
2020. 04. 13,16,9,25,10537
2020. 04. 14,12,15,27,10564
2020. 04. 15,11,16,27,10591
2020. 04. 16,11,11,22,10613
2020. 04. 17,14,8,22,10635
2020. 04. 18,9,9,18,10653
2020. 04. 19,5,3,8,10661
2020. 04. 20,7,6,13,10674
2020. 04. 21,5,4,9,10683
2020. 04. 22,6,5,11,10694
2020. 04. 23,4,4,8,10702
2020. 04. 24,2,4,6,10708
2020. 04. 25,4,6,10,10718
2020. 04. 26,9,1,10,10728
2020. 04. 27,7,3,10,10738
2020. 04. 28,12,2,14,10752
2020. 04. 29,5,4,9,10761
2020. 04. 30,4,0,4,10765
2020. 05. 01,8,1,9,10774
2020. 05. 02,6,0,6,10780
2020. 05. 03,10,3,13,10793
2020. 05. 04,8,0,8,10801
2020. 05. 05,3,0,3,10804
2020. 05. 06,2,0,2,10806
2020. 05. 07,3,1,4,10810
2020. 05. 08,11,1,12,10822
2020. 05. 09,1,17,18,10840
2020. 05. 10,8,26,34,10874
2020. 05. 11,6,29,35,10909
2020. 05. 12,5,22,27,10936
2020. 05. 13,4,22,26,10962
2020. 05. 14,3,26,29,10991
2020. 05. 15,5,22,27,11018
2020. 05. 16,10,9,19,11037
2020. 05. 17,7,6,13,11050
2020. 05. 18,10,5,15,11065
2020. 05. 19,4,9,13,11078
2020. 05. 20,8,24,32,11110
2020. 05. 21,2,10,12,11122
2020. 05. 22,9,11,20,11142
2020. 05. 23,4,19,23,11165
2020. 05. 24,8,17,25,11190
2020. 05. 25,3,13,16,11206
2020. 05. 26,3,16,19,11225
2020. 05. 27,3,37,40,11265
2020. 05. 28,11,68,79,11344
2020. 05. 29,3,55,58,11402
2020. 05. 30,12,27,39,11441
2020. 05. 31,12,15,27,11468
2020. 06. 01,5,30,35,11503
2020. 06. 02,2,36,38,11541
2020. 06. 03,3,46,49,11590
2020. 06. 04,6,33,39,11629
2020. 06. 05,5,34,39,11668
2020. 06. 06,8,43,51,11719
2020. 06. 07,4,53,57,11776
2020. 06. 08,5,33,38,11814
2020. 06. 09,3,35,38,11852
2020. 06. 10,7,43,50,11902
2020. 06. 11,5,40,45,11947
2020. 06. 12,13,43,56,12003
2020. 06. 13,5,44,49,12052
2020. 06. 14,3,31,34,12086
2020. 06. 15,13,24,37,12123
2020. 06. 16,13,21,34,12157
2020. 06. 17,12,31,43,12200
2020. 06. 18,8,51,59,12259
2020. 06. 19,17,32,49,12308
2020. 06. 20,31,36,67,12375
2020. 06. 21,8,40,48,12423
2020. 06. 22,6,11,17,12440
2020. 06. 23,30,16,46,12486
2020. 06. 24,20,31,51,12537
2020. 06. 25,5,23,28,12565
2020. 06. 26,12,27,39,12604
2020. 06. 27,20,31,51,12655
2020. 06. 28,22,40,62,12717
2020. 06. 29,12,30,42,12759
2020. 06. 30,20,23,43,12802
2020. 07. 01,15,36,51,12853
2020. 07. 02,10,44,54,12907
2020. 07. 03,11,52,63,12970
2020. 07. 04,27,36,63,13033
2020. 07. 05,18,43,61,13094
2020. 07. 06,24,24,48,13142
2020. 07. 07,24,20,44,13186
2020. 07. 08,33,30,63,13249
2020. 07. 09,22,28,50,13299
2020. 07. 10,23,22,45,13344
2020. 07. 11,15,20,35,13379
2020. 07. 12,23,21,44,13423
2020. 07. 13,43,19,62,13485
2020. 07. 14,19,14,33,13518
2020. 07. 15,28,11,39,13557
2020. 07. 16,47,14,61,13618
2020. 07. 17,39,21,60,13678
2020. 07. 18,28,11,39,13717
2020. 07. 19,13,21,34,13751
2020. 07. 20,22,4,26,13777
2020. 07. 21,25,20,45,13822
2020. 07. 22,34,29,63,13885
2020. 07. 23,20,39,59,13944
2020. 07. 24,13,28,41,13985
2020. 07. 25,86,27,113,14098
2020. 07. 26,46,12,58,14156
2020. 07. 27,16,9,25,14181
2020. 07. 28,23,5,28,14209
2020. 07. 29,34,14,48,14257
2020. 07. 30,11,7,18,14275
2020. 07. 31,22,14,36,14311
2020. 08. 01,23,8,31,14342
2020. 08. 02,22,8,30,14372
2020. 08. 03,20,3,23,14395
2020. 08. 04,21,13,34,14429
2020. 08. 05,18,15,33,14462
2020. 08. 06,23,20,43,14505
2020. 08. 07,11,9,20,14525
2020. 08. 08,13,30,43,14568
2020. 08. 09,6,30,36,14604
2020. 08. 10,11,17,28,14632
2020. 08. 11,11,23,34,14666
2020. 08. 12,19,35,54,14720
2020. 08. 13,9,47,56,14776
2020. 08. 14,18,85,103,14879
2020. 08. 15,11,155,166,15045
2020. 08. 16,12,267,279,15324
2020. 08. 17,9,188,197,15521
2020. 08. 18,11,235,246,15767
2020. 08. 19,14,283,297,16064
2020. 08. 20,12,276,288,16352
2020. 08. 21,9,315,324,16676
2020. 08. 22,17,315,332,17008
2020. 08. 23,10,387,397,17405
2020. 08. 24,8,258,266,17671
2020. 08. 25,16,264,280,17951
2020. 08. 26,13,307,320,18271
2020. 08. 27,7,434,441,18712
2020. 08. 28,12,359,371,19083
2020. 08. 29,15,308,323,19406
2020. 08. 30,16,283,299,19705
2020. 08. 31,10,238,248,19953
2020. 09. 01,13,222,235,20188
2020. 09. 02,14,253,267,20455
2020. 09. 03,7,188,195,20650
2020. 09. 04,9,189,198,20848
2020. 09. 05,10,158,168,21016
2020. 09. 06,15,152,167,21183
2020. 09. 07,11,108,119,21302
2020. 09. 08,16,120,136,21438
2020. 09. 09,12,144,156,21594
2020. 09. 10,14,141,155,21749
2020. 09. 11,15,161,176,21925
2020. 09. 12,18,118,136,22061
2020. 09. 13,22,99,121,22182
2020. 09. 14,11,98,109,22291
2020. 09. 15,15,91,106,22397
2020. 09. 16,8,105,113,22510
2020. 09. 17,8,145,153,22663
2020. 09. 18,17,109,126,22789
2020. 09. 19,4,106,110,22899
2020. 09. 20,10,72,82,22981
2020. 09. 21,15,55,70,23051
2020. 09. 22,10,51,61,23112
2020. 09. 23,11,99,110,23222
2020. 09. 24,15,110,125,23347
2020. 09. 25,19,95,114,23461
2020. 09. 26,49,12,61,23522
2020. 09. 27,22,73,95,23617
2020. 09. 28,10,40,50,23667
2020. 09. 29,15,23,38,23705
2020. 09. 30,20,93,113,23818
2020. 10. 01,10,67,77,23895
2020. 10. 02,10,53,63,23958
2020. 10. 03,52,23,75,24033
2020. 10. 04,17,47,64,24097
2020. 10. 05,9,64,73,24170
2020. 10. 06,9,66,75,24245
2020. 10. 07,20,94,114,24359
2020. 10. 08,9,60,69,24428
2020. 10. 09,16,38,54,24482
2020. 10. 10,11,61,72,24554
2020. 10. 11,12,46,58,24612
2020. 10. 12,29,68,97,24709
2020. 10. 13,33,69,102,24811
2020. 10. 14,31,53,84,24895
2020. 10. 15,15,95,110,25005
2020. 10. 16,6,41,47,25052
2020. 10. 17,11,62,73,25125
2020. 10. 18,20,71,91,25216
2020. 10. 19,23,16,39,25255
2020. 10. 20,17,41,58,25313
2020. 10. 21,34,57,91,25404
2020. 10. 22,17,104,121,25525
2020. 10. 23,17,138,155,25680
2020. 10. 24,11,66,77,25757
2020. 10. 25,11,50,61,25818
2020. 10. 26,25,94,119,25937
2020. 10. 27,16,72,88,26025
2020. 10. 28,7,96,103,26128
2020. 10. 29,19,106,125,26253
2020. 10. 30,21,93,114,26367
2020. 10. 31,31,96,127,26494
2020. 11. 01,23,101,124,26618
2020. 11. 02,18,79,97,26715
2020. 11. 03,29,46,75,26790
2020. 11. 04,20,98,118,26908
2020. 11. 05,17,108,125,27033
2020. 11. 06,28,117,145,27178
2020. 11. 07,17,72,89,27267
2020. 11. 08,25,118,143,27410
2020. 11. 09,27,99,126,27536
2020. 11. 10,29,71,100,27636
2020. 11. 11,33,113,146,27782
2020. 11. 12,15,128,143,27925
2020. 11. 13,29,162,191,28116
2020. 11. 14,39,166,205,28321
2020. 11. 15,32,176,208,28529
2020. 11. 16,30,193,223,28752
2020. 11. 17,28,202,230,28982
2020. 11. 18,68,245,313,29295
2020. 11. 19,50,293,343,29638
2020. 11. 20,43,320,363,30001
2020. 11. 21,25,361,386,30387
2020. 11. 22,28,302,330,30717
2020. 11. 23,16,255,271,30988
2020. 11. 24,29,320,349,31337
